"","dperm","Leisure","Productivity","rating","price","number_of_ratings","file_size","performance"
"1",4,0,0,0,8.99,0,7300,"3"
"2",4,0,0,4.2,0,533,5000,"10"
"3",3,0,0,4.5,0,532,6400,"10"
"4",0,1,0,4.2,0,828489,30431.5655853184,"17"
"5",2,0,0,3.5,0,315,8300,"12"
"6",1,0,0,4.7,0,2071,6900,"12"
"7",2,0,0,4.8,0,69279,10000,"16"
"8",2,0,1,0,0,0,30000,"4"
"9",3,0,0,4.1,0,12578,2300,"13"
"10",8,0,0,0,0,1,2000,"6"
"11",2,0,1,3.8,0,637,7200,"12"
"12",4,0,0,3.4,0,1555,4100,"12"
"13",7,0,0,3.9,0,194,16659.3981227799,"10"
"14",3,0,0,4.2,0,1506,11000,"12"
"15",11,0,1,4.7,0,51,11000,"8"
"16",0,0,0,4.7,0,2570,3800,"12"
"17",8,0,1,0,0,1,2900,"8"
"18",1,0,0,4.1,0,290,40000,"11"
"19",0,0,0,0,0,776,24000,"12"
"20",15,0,0,0,2.99,0,7900,"6"
"21",4,1,0,3,2.99,20,4300,"8"
"22",3,0,0,0,0,0,10000,"4"
"23",2,1,0,4.3,0,205830,63000,"16"
"24",0,0,1,3.7,2.49,3,11000,"4"
"25",3,1,0,4.5,0,192851,31575.4559470101,"16"
"26",3,1,0,4.5,1.99,4724,17538.4790789168,"11"
"27",6,0,0,2.8,0,88,43000,"10"
"28",0,1,0,4.1,0,341,26000,"11"
"29",5,0,0,4.6,0,19,14000,"7"
"30",2,1,0,3.7,0,3396,266,"13"
"31",5,0,0,2.3,0,11,12000,"7"
"32",0,0,0,2.2,0,4,28000,"8"
"33",3,1,0,4.4,0,5234162,50714.9361173837,"18"
"34",3,0,1,3.8,0,5211,26000,"14"
"35",3,1,0,4.2,0,6947,20000,"13"
"36",2,1,0,4.5,0,24210,45000,"13"
"37",0,0,0,0,0,2,77000,"6"
"38",3,1,0,4.6,0,4304,71000,"12"
"39",3,1,0,4.4,0,2351,62000,"12"
"40",4,0,0,4.5,0,172505,76000,"15"
"41",4,0,0,0,0,2,20000,"5"
"42",0,1,0,3.4,0,9051,23000,"14"
"43",2,0,0,0,0,1,22000,"6"
"44",0,0,0,0,9.99,2,85000,"5"
"45",7,1,0,3.9,0,58082,33087.3825105041,"16"
"46",3,1,0,4.3,0,246538,60000,"15"
"47",2,1,0,4.1,0,39895,25000,"15"
"48",0,0,0,3.4,0,7816,5100,"14"
"49",0,0,0,4.2,0,345,14000,"11"
"50",0,0,0,4.2,0,4010,8700,"13"
"51",2,1,0,4.1,0,13,16000,"7"
"52",0,1,0,3.8,0,4116,8800,"12"
"53",3,1,0,4.3,0,275843,41000,"16"
"54",2,0,0,3.8,0,434,18000,"11"
"55",4,0,1,4.3,0,542,30000,"12"
"56",2,0,0,3.9,0,114,18000,"9"
"57",2,0,0,4.5,0,248555,28140.6254464615,"15"
"58",1,1,0,3.4,0,87384,30612.6396812683,"16"
"59",2,0,0,3.3,0,47,18000,"9"
"60",2,0,1,0,0,0,3200,"4"
"61",0,0,0,5,0,7,3400,"8"
"62",4,0,1,4.4,0,6997,4600,"12"
"63",0,0,0,4.8,0,5103,17959.6334346295,"12"
"64",3,1,0,3.8,0,742,1800,"12"
"65",0,0,0,3.8,0,292,2700,"12"
"66",3,0,0,4.3,0,13064,4600,"14"
"67",0,0,0,3.4,0,4082,318,"13"
"68",0,0,1,4.3,0,634,2000,"11"
"69",6,0,1,4.6,0,3596,19000,"12"
"70",3,0,1,0,0,4,4400,"9"
"71",2,0,1,4.2,0,715,7100,"12"
"72",0,0,1,4.2,0,115,1400,"10"
